text,label,category,language,script,template_id,kind,source
ALERT: Your SAHB account is SUSPENDED due to pending KYC. Click https://reward-claim.online/c16908 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms,indian_upi
ALERT: Your KAVB account is SUSPENDED due to pending KYC. Click http://acct-help-india.site/17926 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms,indian_upi
ALERT: Your NRMB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/70107 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms,indian_upi
ALERT: Your KAVB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/35565 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms,indian_upi
ALERT: Your NRMB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/13303 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms,indian_upi
ALERT: Your NRMB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/96305 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms,indian_upi
"प्रिय ग्राहक, आपका Bharat Union Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://secure-bank-update.click/61687",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms,indian_upi
"प्रिय ग्राहक, आपका Deccan Co-op Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://parcel-track-in.info/t36115",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms,indian_upi
"प्रिय ग्राहक, आपका Kaveri Gramin Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: https://bit-link.cc/44779",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms,indian_upi
"प्रिय ग्राहक, आपका Godavari Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://parcel-track-in.info/t29757",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms,indian_upi
"प्रिय ग्राहक, आपका Deccan Co-op Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: https://reward-claim.online/c34469",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms,indian_upi
"प्रिय ग्राहक, आपका Kaveri Gramin Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://parcel-track-in.info/t65124",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms,indian_upi
"ప్రియమైన కస్టమర్, మీ Deccan Co-op Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: https://bit-link.cc/45898",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms,indian_upi
"ప్రియమైన కస్టమర్, మీ Narmada Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: http://kyc-verify-now.top/a77973",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms,indian_upi
"ప్రియమైన కస్టమర్, మీ Kaveri Gramin Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: http://acct-help-india.site/30471",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms,indian_upi
"ప్రియమైన కస్టమర్, మీ Deccan Co-op Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: https://bit-link.cc/88836",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms,indian_upi
"ప్రియమైన కస్టమర్, మీ Godavari Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: https://upi-refund-help.xyz/r51778",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms,indian_upi
"ప్రియమైన కస్టమర్, మీ Sahyadri Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: http://acct-help-india.site/84351",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms,indian_upi
"Congrats! Cashback of Rs 5,000 credited to your RupeeGo wallet. To withdraw, scan the QR at https://reward-claim.online/c11710 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms,indian_upi
"Congrats! Cashback of Rs 2,999 credited to your SwiftPay wallet. To withdraw, scan the QR at https://bit-link.cc/17895 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms,indian_upi
"Congrats! Cashback of Rs 7,500 credited to your PayNest wallet. To withdraw, scan the QR at https://bit-link.cc/13635 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms,indian_upi
"Congrats! Cashback of Rs 5,000 credited to your PayNest wallet. To withdraw, scan the QR at https://reward-claim.online/c70137 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms,indian_upi
"Congrats! Cashback of Rs 1,499 credited to your RupeeGo wallet. To withdraw, scan the QR at http://parcel-track-in.info/t16791 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms,indian_upi
"Congrats! Cashback of Rs 5,000 credited to your RupeeGo wallet. To withdraw, scan the QR at https://reward-claim.online/c23918 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms,indian_upi
"Aapka Rs 5,000 refund pending hai. Paisa wapas paane ke liye request accept karke UPI PIN daalein. tasks.pay@upg",1,refund_scam,hi,latin,s1-refund_scam-hil-014,sms,indian_upi
"Aapka Rs 2,999 refund pending hai. Paisa wapas paane ke liye request accept karke UPI PIN daalein. cashback.offer@upg",1,refund_scam,hi,latin,s1-refund_scam-hil-014,sms,indian_upi
"Aapka Rs 5,000 refund pending hai. Paisa wapas paane ke liye request accept karke UPI PIN daalein. claim.reward@upg",1,refund_scam,hi,latin,s1-refund_scam-hil-014,sms,indian_upi
"Aapka Rs 5,000 refund pending hai. Paisa wapas paane ke liye request accept karke UPI PIN daalein. refund.desk@upg",1,refund_scam,hi,latin,s1-refund_scam-hil-014,sms,indian_upi
"Aapka Rs 2,999 refund pending hai. Paisa wapas paane ke liye request accept karke UPI PIN daalein. claim.reward@upg",1,refund_scam,hi,latin,s1-refund_scam-hil-014,sms,indian_upi
"Aapka Rs 9,999 refund pending hai. Paisa wapas paane ke liye request accept karke UPI PIN daalein. cashback.offer@upg",1,refund_scam,hi,latin,s1-refund_scam-hil-014,sms,indian_upi
"అభినందనలు! మీ SwiftPay వాలెట్‌లో ₹4,999 క్యాష్‌బ్యాక్ వచ్చింది. డబ్బు తీసుకోవడానికి https://reward-claim.online/c72367 లో QR స్కాన్ చేసి PIN ఇవ్వండి.",1,refund_scam,te,native,s1-refund_scam-ten-016,sms,indian_upi
