id,text,label,category,language,script,template_id,kind
upg-sms-00001,"Dear customer, your Bharat Union Bank KYC expires today. Your account will be blocked. Update KYC now: http://acct-help-india.site/38649",1,kyc_fraud,en,native,s1-kyc_fraud-enn-000,sms
upg-sms-00002,"Dear customer, your Kaveri Gramin Bank KYC expires today. Your account will be blocked. Update KYC now: http://kyc-verify-now.top/a61433",1,kyc_fraud,en,native,s1-kyc_fraud-enn-000,sms
upg-sms-00003,"Dear customer, your Narmada Bank KYC expires today. Your account will be blocked. Update KYC now: http://acct-help-india.site/31005",1,kyc_fraud,en,native,s1-kyc_fraud-enn-000,sms
upg-sms-00004,"Dear customer, your Deccan Co-op Bank KYC expires today. Your account will be blocked. Update KYC now: http://secure-bank-update.click/62165",1,kyc_fraud,en,native,s1-kyc_fraud-enn-000,sms
upg-sms-00005,"Dear customer, your Bharat Union Bank KYC expires today. Your account will be blocked. Update KYC now: http://parcel-track-in.info/t13080",1,kyc_fraud,en,native,s1-kyc_fraud-enn-000,sms
upg-sms-00006,"Dear customer, your Narmada Bank KYC expires today. Your account will be blocked. Update KYC now: https://upi-refund-help.xyz/r12066",1,kyc_fraud,en,native,s1-kyc_fraud-enn-000,sms
upg-sms-00007,ALERT: Your SAHB account is SUSPENDED due to pending KYC. Click https://reward-claim.online/c16908 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms
upg-sms-00008,ALERT: Your KAVB account is SUSPENDED due to pending KYC. Click http://acct-help-india.site/17926 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms
upg-sms-00009,ALERT: Your NRMB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/70107 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms
upg-sms-00010,ALERT: Your KAVB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/35565 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms
upg-sms-00011,ALERT: Your NRMB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/13303 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms
upg-sms-00012,ALERT: Your NRMB account is SUSPENDED due to pending KYC. Click http://secure-bank-update.click/96305 and verify within 24 hrs to avoid permanent block.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-001,sms
upg-sms-00013,Your UPI ID will be deactivated today. Complete PAN-KYC update immediately at http://kyc-verify-now.top/a51345 or call 9356952839.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-002,sms
upg-sms-00014,Your UPI ID will be deactivated today. Complete PAN-KYC update immediately at http://kyc-verify-now.top/a45657 or call 8160404143.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-002,sms
upg-sms-00015,Your UPI ID will be deactivated today. Complete PAN-KYC update immediately at http://secure-bank-update.click/21156 or call 9105703511.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-002,sms
upg-sms-00016,Your UPI ID will be deactivated today. Complete PAN-KYC update immediately at http://kyc-verify-now.top/a19598 or call 9458210951.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-002,sms
upg-sms-00017,Your UPI ID will be deactivated today. Complete PAN-KYC update immediately at https://bit-link.cc/22487 or call 6225302957.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-002,sms
upg-sms-00018,Your UPI ID will be deactivated today. Complete PAN-KYC update immediately at https://upi-refund-help.xyz/r66372 or call 6696563396.,1,kyc_fraud,en,native,s1-kyc_fraud-enn-002,sms
upg-sms-00019,"प्रिय ग्राहक, आपका Bharat Union Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://secure-bank-update.click/61687",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms
upg-sms-00020,"प्रिय ग्राहक, आपका Deccan Co-op Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://parcel-track-in.info/t36115",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms
upg-sms-00021,"प्रिय ग्राहक, आपका Kaveri Gramin Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: https://bit-link.cc/44779",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms
upg-sms-00022,"प्रिय ग्राहक, आपका Godavari Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://parcel-track-in.info/t29757",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms
upg-sms-00023,"प्रिय ग्राहक, आपका Deccan Co-op Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: https://reward-claim.online/c34469",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms
upg-sms-00024,"प्रिय ग्राहक, आपका Kaveri Gramin Bank KYC आज समाप्त हो रहा है। खाता बंद कर दिया जाएगा। तुरंत KYC अपडेट करें: http://parcel-track-in.info/t65124",1,kyc_fraud,hi,native,s1-kyc_fraud-hin-003,sms
upg-sms-00025,आपका UPI खाता ब्लॉक होने वाला है। KYC सत्यापन के लिए अभी इस लिंक पर क्लिक करें https://upi-refund-help.xyz/r74254 या 8490569023 पर कॉल करें।,1,kyc_fraud,hi,native,s1-kyc_fraud-hin-004,sms
upg-sms-00026,आपका UPI खाता ब्लॉक होने वाला है। KYC सत्यापन के लिए अभी इस लिंक पर क्लिक करें http://parcel-track-in.info/t91830 या 6906765076 पर कॉल करें।,1,kyc_fraud,hi,native,s1-kyc_fraud-hin-004,sms
upg-sms-00027,आपका UPI खाता ब्लॉक होने वाला है। KYC सत्यापन के लिए अभी इस लिंक पर क्लिक करें https://bit-link.cc/77809 या 8453015901 पर कॉल करें।,1,kyc_fraud,hi,native,s1-kyc_fraud-hin-004,sms
upg-sms-00028,आपका UPI खाता ब्लॉक होने वाला है। KYC सत्यापन के लिए अभी इस लिंक पर क्लिक करें http://acct-help-india.site/97869 या 7224396058 पर कॉल करें।,1,kyc_fraud,hi,native,s1-kyc_fraud-hin-004,sms
upg-sms-00029,आपका UPI खाता ब्लॉक होने वाला है। KYC सत्यापन के लिए अभी इस लिंक पर क्लिक करें https://bit-link.cc/15085 या 7700916106 पर कॉल करें।,1,kyc_fraud,hi,native,s1-kyc_fraud-hin-004,sms
upg-sms-00030,आपका UPI खाता ब्लॉक होने वाला है। KYC सत्यापन के लिए अभी इस लिंक पर क्लिक करें https://reward-claim.online/c70158 या 9705996205 पर कॉल करें।,1,kyc_fraud,hi,native,s1-kyc_fraud-hin-004,sms
upg-sms-00031,Aapka DCCB account aaj band ho jayega. KYC update karne ke liye turant link par click karein http://kyc-verify-now.top/a94973,1,kyc_fraud,hi,latin,s1-kyc_fraud-hil-005,sms
upg-sms-00032,Aapka SAHB account aaj band ho jayega. KYC update karne ke liye turant link par click karein http://acct-help-india.site/39623,1,kyc_fraud,hi,latin,s1-kyc_fraud-hil-005,sms
upg-sms-00033,Aapka NRMB account aaj band ho jayega. KYC update karne ke liye turant link par click karein https://upi-refund-help.xyz/r69776,1,kyc_fraud,hi,latin,s1-kyc_fraud-hil-005,sms
upg-sms-00034,Aapka GODB account aaj band ho jayega. KYC update karne ke liye turant link par click karein http://kyc-verify-now.top/a86441,1,kyc_fraud,hi,latin,s1-kyc_fraud-hil-005,sms
upg-sms-00035,Aapka GODB account aaj band ho jayega. KYC update karne ke liye turant link par click karein http://acct-help-india.site/2983,1,kyc_fraud,hi,latin,s1-kyc_fraud-hil-005,sms
upg-sms-00036,Aapka NRMB account aaj band ho jayega. KYC update karne ke liye turant link par click karein https://bit-link.cc/24030,1,kyc_fraud,hi,latin,s1-kyc_fraud-hil-005,sms
upg-sms-00037,"ప్రియమైన కస్టమర్, మీ Deccan Co-op Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: https://bit-link.cc/45898",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms
upg-sms-00038,"ప్రియమైన కస్టమర్, మీ Narmada Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: http://kyc-verify-now.top/a77973",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms
upg-sms-00039,"ప్రియమైన కస్టమర్, మీ Kaveri Gramin Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: http://acct-help-india.site/30471",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms
upg-sms-00040,"ప్రియమైన కస్టమర్, మీ Deccan Co-op Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: https://bit-link.cc/88836",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms
upg-sms-00041,"ప్రియమైన కస్టమర్, మీ Godavari Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: https://upi-refund-help.xyz/r51778",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms
upg-sms-00042,"ప్రియమైన కస్టమర్, మీ Sahyadri Bank KYC ఈ రోజు ముగుస్తుంది. మీ ఖాతా బ్లాక్ అవుతుంది. వెంటనే KYC అప్‌డేట్ చేయండి: http://acct-help-india.site/84351",1,kyc_fraud,te,native,s1-kyc_fraud-ten-006,sms
upg-sms-00043,మీ UPI ఖాతా నిలిపివేయబడుతుంది. KYC ధృవీకరణ కోసం ఈ లింక్ క్లిక్ చేయండి https://bit-link.cc/20581 లేదా 9600643630 కి కాల్ చేయండి.,1,kyc_fraud,te,native,s1-kyc_fraud-ten-007,sms
upg-sms-00044,మీ UPI ఖాతా నిలిపివేయబడుతుంది. KYC ధృవీకరణ కోసం ఈ లింక్ క్లిక్ చేయండి https://reward-claim.online/c15283 లేదా 8281339622 కి కాల్ చేయండి.,1,kyc_fraud,te,native,s1-kyc_fraud-ten-007,sms
upg-sms-00045,మీ UPI ఖాతా నిలిపివేయబడుతుంది. KYC ధృవీకరణ కోసం ఈ లింక్ క్లిక్ చేయండి http://kyc-verify-now.top/a70119 లేదా 9411532423 కి కాల్ చేయండి.,1,kyc_fraud,te,native,s1-kyc_fraud-ten-007,sms
upg-sms-00046,మీ UPI ఖాతా నిలిపివేయబడుతుంది. KYC ధృవీకరణ కోసం ఈ లింక్ క్లిక్ చేయండి http://kyc-verify-now.top/a80787 లేదా 9825451231 కి కాల్ చేయండి.,1,kyc_fraud,te,native,s1-kyc_fraud-ten-007,sms
upg-sms-00047,మీ UPI ఖాతా నిలిపివేయబడుతుంది. KYC ధృవీకరణ కోసం ఈ లింక్ క్లిక్ చేయండి https://reward-claim.online/c16224 లేదా 8563593899 కి కాల్ చేయండి.,1,kyc_fraud,te,native,s1-kyc_fraud-ten-007,sms
upg-sms-00048,మీ UPI ఖాతా నిలిపివేయబడుతుంది. KYC ధృవీకరణ కోసం ఈ లింక్ క్లిక్ చేయండి http://secure-bank-update.click/31065 లేదా 6845980490 కి కాల్ చేయండి.,1,kyc_fraud,te,native,s1-kyc_fraud-ten-007,sms
upg-sms-00049,Mee DCCB account ee roju block avutundi. KYC update cheyyadaniki ventane ee link click cheyandi http://kyc-verify-now.top/a36059,1,kyc_fraud,te,latin,s1-kyc_fraud-tel-008,sms
upg-sms-00050,Mee DCCB account ee roju block avutundi. KYC update cheyyadaniki ventane ee link click cheyandi http://parcel-track-in.info/t5068,1,kyc_fraud,te,latin,s1-kyc_fraud-tel-008,sms
upg-sms-00051,Mee NRMB account ee roju block avutundi. KYC update cheyyadaniki ventane ee link click cheyandi https://upi-refund-help.xyz/r23387,1,kyc_fraud,te,latin,s1-kyc_fraud-tel-008,sms
upg-sms-00052,Mee SAHB account ee roju block avutundi. KYC update cheyyadaniki ventane ee link click cheyandi https://upi-refund-help.xyz/r36159,1,kyc_fraud,te,latin,s1-kyc_fraud-tel-008,sms
upg-sms-00053,Mee DCCB account ee roju block avutundi. KYC update cheyyadaniki ventane ee link click cheyandi http://parcel-track-in.info/t4634,1,kyc_fraud,te,latin,s1-kyc_fraud-tel-008,sms
upg-sms-00054,Mee DCCB account ee roju block avutundi. KYC update cheyyadaniki ventane ee link click cheyandi http://secure-bank-update.click/62920,1,kyc_fraud,te,latin,s1-kyc_fraud-tel-008,sms
upg-sms-00055,"Your refund of Rs 9,999 from DailyBasket is ready. Approve the UPI request from claim.reward@upg and enter your PIN to receive it.",1,refund_scam,en,native,s1-refund_scam-enn-009,sms
upg-sms-00056,"Your refund of Rs 12,000 from ShopKart is ready. Approve the UPI request from support.verify@upg and enter your PIN to receive it.",1,refund_scam,en,native,s1-refund_scam-enn-009,sms
upg-sms-00057,"Your refund of Rs 12,000 from StyleHub is ready. Approve the UPI request from claim.reward@upg and enter your PIN to receive it.",1,refund_scam,en,native,s1-refund_scam-enn-009,sms
upg-sms-00058,"Your refund of Rs 4,999 from MegaMart Online is ready. Approve the UPI request from refund.desk@upg and enter your PIN to receive it.",1,refund_scam,en,native,s1-refund_scam-enn-009,sms
upg-sms-00059,"Your refund of Rs 5,000 from ShopKart is ready. Approve the UPI request from claim.reward@upg and enter your PIN to receive it.",1,refund_scam,en,native,s1-refund_scam-enn-009,sms
upg-sms-00060,"Your refund of Rs 1,499 from StyleHub is ready. Approve the UPI request from cashback.offer@upg and enter your PIN to receive it.",1,refund_scam,en,native,s1-refund_scam-enn-009,sms
upg-sms-00061,"Congrats! Cashback of Rs 5,000 credited to your RupeeGo wallet. To withdraw, scan the QR at https://reward-claim.online/c11710 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms
upg-sms-00062,"Congrats! Cashback of Rs 2,999 credited to your SwiftPay wallet. To withdraw, scan the QR at https://bit-link.cc/17895 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms
upg-sms-00063,"Congrats! Cashback of Rs 7,500 credited to your PayNest wallet. To withdraw, scan the QR at https://bit-link.cc/13635 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms
upg-sms-00064,"Congrats! Cashback of Rs 5,000 credited to your PayNest wallet. To withdraw, scan the QR at https://reward-claim.online/c70137 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms
upg-sms-00065,"Congrats! Cashback of Rs 1,499 credited to your RupeeGo wallet. To withdraw, scan the QR at http://parcel-track-in.info/t16791 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms
upg-sms-00066,"Congrats! Cashback of Rs 5,000 credited to your RupeeGo wallet. To withdraw, scan the QR at https://reward-claim.online/c23918 and enter UPI PIN.",1,refund_scam,en,native,s1-refund_scam-enn-010,sms
upg-sms-00067,"Order cancelled. Rs 2,999 refund pending. Our executive will send a collect request, please accept to get your money back.",1,refund_scam,en,native,s1-refund_scam-enn-011,sms
upg-sms-00068,"Order cancelled. Rs 5,000 refund pending. Our executive will send a collect request, please accept to get your money back.",1,refund_scam,en,native,s1-refund_scam-enn-011,sms
upg-sms-00069,"Order cancelled. Rs 4,999 refund pending. Our executive will send a collect request, please accept to get your money back.",1,refund_scam,en,native,s1-refund_scam-enn-011,sms
upg-sms-00070,"Order cancelled. Rs 9,999 refund pending. Our executive will send a collect request, please accept to get your money back.",1,refund_scam,en,native,s1-refund_scam-enn-011,sms
upg-sms-00071,"Order cancelled. Rs 1,499 refund pending. Our executive will send a collect request, please accept to get your money back.",1,refund_scam,en,native,s1-refund_scam-enn-011,sms
upg-sms-00072,"ShopKart से आपका ₹12,000 का रिफंड तैयार है। पैसा पाने के लिए kyc.helpdesk@upg से आए अनुरोध को स्वीकार करें और PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-012,sms
upg-sms-00073,"StyleHub से आपका ₹5,000 का रिफंड तैयार है। पैसा पाने के लिए cashback.offer@upg से आए अनुरोध को स्वीकार करें और PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-012,sms
upg-sms-00074,"StyleHub से आपका ₹7,500 का रिफंड तैयार है। पैसा पाने के लिए tasks.pay@upg से आए अनुरोध को स्वीकार करें और PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-012,sms
upg-sms-00075,"DailyBasket से आपका ₹9,999 का रिफंड तैयार है। पैसा पाने के लिए cashback.offer@upg से आए अनुरोध को स्वीकार करें और PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-012,sms
upg-sms-00076,"ShopKart से आपका ₹1,499 का रिफंड तैयार है। पैसा पाने के लिए cashback.offer@upg से आए अनुरोध को स्वीकार करें और PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-012,sms
upg-sms-00077,"ShopKart से आपका ₹2,999 का रिफंड तैयार है। पैसा पाने के लिए claim.reward@upg से आए अनुरोध को स्वीकार करें और PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-012,sms
upg-sms-00078,"बधाई हो! आपके PayNest वॉलेट में ₹2,999 कैशबैक आया है। पैसे निकालने के लिए https://reward-claim.online/c18812 पर QR स्कैन करके PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-013,sms
upg-sms-00079,"बधाई हो! आपके RupeeGo वॉलेट में ₹12,000 कैशबैक आया है। पैसे निकालने के लिए https://upi-refund-help.xyz/r84550 पर QR स्कैन करके PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-013,sms
upg-sms-00080,"बधाई हो! आपके SwiftPay वॉलेट में ₹9,999 कैशबैक आया है। पैसे निकालने के लिए https://upi-refund-help.xyz/r89892 पर QR स्कैन करके PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-013,sms
upg-sms-00081,"बधाई हो! आपके RupeeGo वॉलेट में ₹7,500 कैशबैक आया है। पैसे निकालने के लिए http://secure-bank-update.click/83610 पर QR स्कैन करके PIN डालें।",1,refund_scam,hi,native,s1-refund_scam-hin-013,sms
